"Rank","University","Score","Country","Twitter_Name","Twitter_ID","Friends"
94,"Ohio State University",80.263,"USA","OhioState","18846918",0
95,"University of Gottingen",80.149,"Germany","uniGoettingen","50638548",0
96,"Swedish University of Agricultural Sciences",80.134,"Sweden","_SLU","128211584",0
97,"Ecole Normale Superieure, Lyon",79.992,"France","UniversiteLyon","125296735",0
98,"Radboud University Nijmegen",79.739,"Netherlands","Radboud_Uni","45826046",0
99,"Tohoku University",79.661,"Japan","TohokuUniPR","2540701770",0
100,"Utrecht University",79.582,"Netherlands","UtrechtUni","33550981",0
101,"University of Florida",79.524,"USA","UF","44168607",0
102,"University of Bergen",79.35,"Norway","UiB","17867748",0
103,"University of Miami",79.337,"USA","miamiuniversity","42790918",0
104,"Purdue University",79.095,"USA","LifeAtPurdue","16134525",0
105,"University of Queensland Australia",79.084,"Australia","UQ_News","17383073",0
106,"University of Notre Dame",79.059,"USA","NotreDame","6507762",0
107,"Osaka University",79.011,"Japan","osaka_univ_e","442479642",0
108,"National Graduate School of Engineering, Paris",78.997,"France","UoNgradschool","143850633",0
109,"University of Warwick",78.632,"UK","warwickuni","15916215",0
110,"Medical University of Vienna",78.561,"Austria","MedUni_Wien","320702172",0
111,"Michigan State University",78.461,"USA","michiganstateu","41346792",0
112,"University of Sao Paulo",78.389,"Brazil","usponline","24241923",0
113,"Universite de Montreal",78.315,"Canada","UMontreal","135178777",0
114,"University of New South Wales",78.178,"Australia","UNSW","14769030",0
115,"Lomonosov Moscow State University",78.053,"Russia","msu_ru","259982093",0
116,"Chinese University Hong Kong",77.994,"Hong Kong","CUHKofficial","928098400980975616",0
117,"Hebrew University of Jerusalem",77.946,"Israel","HebrewU","54480908",0
118,"University of Maryland, College Park",77.807,"USA","UofMaryland","16129880",0
119,"University of St. Andrews",77.803,"UK","univofstandrews","19910826",0
120,"Aarhus University",77.767,"Denmark","AarhusUni","224283051",0
121,"University of Groningen",77.655,"Netherlands","univgroningen","33535466",0
122,"Free University of Berlin",77.412,"Germany","FU_Berlin","2152668890",0
123,"University of Liverpool",77.341,"UK","LivUni","18903739",0
124,"Nanjing University",77.301,"China","NanjingUnivers1","871618430192951296",0
125,"RWTH Aachen University",77.27,"Germany","RWTH","928008620",0
126,"McMaster University",77.197,"Canada","McMasterU","57709461",0
127,"University of Calgary",76.913,"Canada","UCalgary","16809022",0
128,"University of Utah",76.614,"USA","UUtah","14748679",0
129,"Monash University",76.6,"Australia","MonashUni","15926727",0
130,"National Taiwan University",76.55,"Taiwan","q_nationaltaiwa","215243976",0
131,"City University of Hong Kong",76.451,"Hong Kong","CityUHongKong","81070376",0
132,"Durham University",76.447,"UK","durham_uni","277391629",0
133,"Tulane University",76.373,"USA","Tulane","28120277",0
134,"Autonomous University of Barcelona",76.296,"Spain","BathAstronomers","941236085778276352",0
135,"Karlsruhe Institute of Technology",76.295,"Germany","KITKarlsruhe","91110697",0
136,"University of Iowa",76.175,"USA","uiowa","14534931",0
137,"Nagoya University",76.166,"Japan","NagoyaUniv","83761255",0
138,"University of Western Australia",76.08,"Australia","uwanews","22742520",0
140,"Technische Universitat Dresden (TU Dresden)",76.004,"Germany","tudresden_de","146074105",0
140,"University of Nova Gorica",76.004,"Slovenia","solamoskupnost","807719888",0
141,"Trinity College Dublin",75.989,"Ireland","tcddublin","31537951",0
142,"University of Adelaide",75.846,"Australia","UniofAdelaide","22573758",0
143,"University of Hamburg",75.79,"Germany","unihh","66370363",0
144,"Kyushu University",75.745,"Japan","KyushuUniv_EN","3215762043",0
145,"Technical University of Berlin",75.483,"Germany","TUBerlin","63449466",0
146,"University of Cape Town",75.453,"South Africa","UCT_news","562781948",0
147,"Hokkaido University",75.351,"Japan","HokkaidoUni","481839331",0
148,"University of Glasgow",75.328,"UK","UofGlasgow","19760151",0
149,"Rockefeller University",75.246,"USA","RockefellerUniv","27024872",0
150,"Lancaster University",75.159,"UK","LancasterUni","25521930",0
151,"Katholieke Universiteit Leuven (KU Leuven)",75.153,"Belgium","KU_Leuven","130828533",0
152,"State University of New York, Stony Brook",74.975,"USA","stonybrooku","50762782",0
153,"Humboldt University of Berlin",74.963,"Germany","HumboldtUni","108566175",0
154,"University Paris Diderot - Paris 7",74.955,"France","ParisDiderot","51400447",0
155,"University of Cologne",74.928,"Germany","UniCologne","21084942",0
156,"University of Malaya",74.869,"Malaysia","unimalaya","821364216",0
157,"National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)",74.845,"Russia","UMephi","1046683139718991872",0
158,"Colorado School of Mines",74.788,"USA","coschoolofmines","28147271",0
159,"University of Colorado",74.772,"USA","WesternColoU","29513379",0
160,"University of Kansas",74.589,"USA","KUnews","1162109050227699717",0
161,"University of Munster",74.588,"Germany","WWU_Muenster","24677217",0
162,"University of Sheffield",74.492,"UK","sheffielduni","19341622",0
163,"University of Barcelona",74.483,"Spain","UniBarcelona","188725330",0
164,"Sungkyunkwan University",74.43,"Republic of Korea","SKKGSB","213576685",0
165,"University of Arizona",74.35,"USA","uarizona","14862639",0
166,"Cardiff University",74.158,"UK","cardiffuni","12134862",0
167,"University of Leicester",74.092,"UK","uniofleicester","81089247",0
168,"Technion Israel Institute of Technology",73.921,"Israel","TechnionLive","224964544",0
169,"University of Illinois at Urbana - Champaign",73.901,"USA","Illinois_Alma","18165866",0
170,"University of California, Irvine",73.804,"USA","UCIrvine","19669207",0
171,"Korea University",73.527,"Republic of Korea","UniversityKorea","1186487858",0
172,"University of California, Santa Barbara",73.499,"USA","ucsantabarbara","18105473",0
173,"Northeastern University",73.344,"USA","Northeastern","46477409",0
174,"Indiana University",73.32,"USA","IndianaUniv","100367386",0
175,"Hanyang University",73.241,"Republic of Korea","i_hanyang","51478517",0
176,"Pennsylvania State University",73.195,"USA","penn_state","119376050",0
177,"Tokyo Medical and Dental University",73.182,"Japan","TMDUniversity","1152088361969963009",0
178,"Tomsk State University",73.129,"Russia","TomskUni","2408564130",0
179,"Yonsei University",73.067,"Republic of Korea","yonsei_u","173679304",0
180,"Texas A&M University",72.951,"USA","TAMU","17237540",0
181,"Weizmann Institute of Science",72.817,"Israel","WeizmannScience","39958512",0
182,"University of Wurzburg",72.814,"Germany","Uni_WUE","593618061",0
183,"State University of Campinas (Unicamp)",72.702,"Brazil","unicampoficial","788430113859854336",0
184,"University of Erlangen Nuremberg",72.608,"Germany","UniFAU","96097812",0
185,"University of York",72.505,"UK","yorkuniversity","4836947526",0
186,"University of Ottawa",72.435,"Canada","uOttawa","352311644",0
187,"Tel Aviv University",72.407,"Israel","TelAvivUni","790846916192002048",0
188,"University of Tsukuba",72.365,"Japan","UofTsukuba","2777744022",0
189,"University of Gothenburg",72.28,"Sweden","uniofgothenburg","35720969",0
190,"Aalto University",72.261,"Finland","AaltoUniversity","90345811",0
191,"University of Reading",72.079,"UK","UniofReading","59142515",0
192,"University of Exeter",71.939,"UK","UniofExeter","60642183",0
193,"University of East Anglia",71.866,"UK","uniofeastanglia","26758197",0
194,"State University of New York, Buffalo",71.864,"USA","UBuffalo","2326061460",0
195,"University of Ulm",71.841,"Germany","uni_ulm","48372117",0
196,"Gwangju Institute of Science and Technology",71.786,"Republic of Korea","KAISTPR","1395992863",0
197,"Western University",71.739,"Canada","WesternU","20601500",0
198,"University of Freiburg",71.275,"Germany","UniFreiburg","148286775",0
199,"Universite Libre de Bruxelles",71.252,"Belgium","ULBruxelles","179941278",0
200,"Wake Forest University",71.15,"USA","WakeForest","34685994",0
